feature_name,mean_abs_shap,pct_importance,cumulative_pct
numeric__is_amount_outlier,0.7577140295368672,22.089780767553684,22.089780767553684
numeric__amount_received,0.5022897940676,14.643349601847527,36.73313036940121
numeric__amount_ratio,0.24351318022587823,7.099185913829924,43.83231628323114
numeric__log_amount,0.2427446426920552,7.076780593389753,50.90909687662089
numeric__Amount_Paid,0.1956912785116715,5.705024946004097,56.61412182262499
numeric__Amount_Received,0.19392169565617476,5.653435961500488,62.26755778412547
numeric__amount_paid,0.16886421900334164,4.922930593680521,67.19048837780599
numeric__amount_diff_lag1,0.16535975362360691,4.820764250009758,72.01125262781575
numeric__payment_format_risk,0.11296500231751139,3.293290131007936,75.30454275882369
numeric__amount_diff_rolling5,0.10312128858756711,3.0063144782462534,78.31085723706994
numeric__currency_risk,0.09044205939550784,2.6366745055967455,80.94753174266668
numeric__amount_zscore,0.08169655428314249,2.3817151368864278,83.32924687955311
numeric__bank_fraud_rate,0.072352959640265,2.1093195506938267,85.43856643024694
numeric__receiver_seconds_since_last_tx,0.05548994094318976,1.6177087693476877,87.05627519959462
numeric__high_value_flag,0.03823081933399207,1.114550324702345,88.17082552429697
numeric__ratio_to_account_average,0.030351385263050742,0.8848396892718864,89.05566521356886
numeric__ratio_to_account_max,0.02943059037838799,0.857995581414312,89.91366079498317
numeric__receiver_rapid_flag,0.026795415391288272,0.7811718253796592,90.69483262036283
numeric__unique_counterparties,0.02466821540041751,0.7191571607233926,91.41398978108623
numeric__account_min_amount,0.02454506124010497,0.715566824137466,92.1295566052237
numeric__lag_amount_1,0.02416048209858427,0.7043551155075507,92.83391172073125
numeric__seconds_since_last_tx,0.02189444687294355,0.6382929609285296,93.47220468165978
numeric__days_since_last_transaction,0.0204810021173362,0.5970865379756659,94.06929121963545
numeric__receiver_in_degree,0.01874804010896777,0.5465651679717921,94.61585638760724
numeric__account_std,0.01841263759066877,0.5367871147626694,95.15264350236991
numeric__payment_format_encoded,0.018410341909820542,0.5367201883436342,95.68936369071355
numeric__account_total_received,0.017929006572915032,0.5226877280044503,96.212051418718
numeric__account_total_paid,0.014748745609471314,0.4299729771517835,96.64202439586978
numeric__coefficient_of_variation,0.013868919861717191,0.40432325031035654,97.04634764618014
numeric__account_avg_amount,0.013854317456306801,0.40389754361677505,97.45024518979692
numeric__account_net_flow,0.013307038868804986,0.3879426271899527,97.83818781698687
numeric__account_max_amount,0.01128078486261999,0.32887085996484006,98.16705867695171
numeric__cross_bank_flag,0.010017799513862776,0.2920508086273563,98.45910948557906
numeric__rolling_std_5,0.008589056660170966,0.2503983973204788,98.70950788289954
numeric__sender_out_degree,0.007526014156638694,0.2194073176594987,98.92891520055905
numeric__account_transaction_count,0.007459908086266962,0.2174801148560761,99.14639531541512
numeric__rolling_max_5,0.006266508989247185,0.18268872470922026,99.32908404012434
numeric__lag_amount_5,0.005355880154730069,0.1561409896390499,99.4852250297634
numeric__rolling_sum_5,0.004073766827402781,0.11876329671560036,99.603988326479
numeric__self_transfer_flag,0.003945223520852604,0.11501584932761229,99.7190041758066
numeric__rolling_mean_5,0.003249245180658887,0.09472586081671977,99.81373003662333
numeric__lag_amount_2,0.0031984326545532724,0.09324451360898141,99.9069745502323
numeric__rolling_min_5,0.0026572985612895676,0.07746872878769404,99.98444327902
numeric__account_variance,0.00031381157615697277,0.009148608379159913,99.99359188739916
numeric__rolling_sum_20,0.00012091251308983907,0.003524985419421423,99.99711687281858
numeric__rolling_mean_20,0.00009889577163767634,0.00288312718143756,100.00000000000001
numeric__amount_difference,0.0,0.0,100.00000000000001
numeric__zero_amount_flag,0.0,0.0,100.00000000000001
numeric__currency_mismatch_flag,0.0,0.0,100.00000000000001
numeric__hour,0.0,0.0,100.00000000000001
numeric__weekday,0.0,0.0,100.00000000000001
numeric__month,0.0,0.0,100.00000000000001
numeric__quarter,0.0,0.0,100.00000000000001
numeric__weekend_flag,0.0,0.0,100.00000000000001
numeric__business_hours_flag,0.0,0.0,100.00000000000001
numeric__night_transaction_flag,0.0,0.0,100.00000000000001
numeric__sin_hour,0.0,0.0,100.00000000000001
numeric__cos_hour,0.0,0.0,100.00000000000001
numeric__sin_day,0.0,0.0,100.00000000000001
numeric__cos_day,0.0,0.0,100.00000000000001
numeric__rapid_transfer_flag,0.0,0.0,100.00000000000001
