iter	Passed	Remaining
445	1129	1402
446	1131	1399
447	1132	1395
448	1134	1392
449	1136	1389
450	1138	1385
451	1139	1382
452	1141	1378
453	1143	1374
454	1145	1371
455	1147	1368
456	1148	1365
457	1150	1361
458	1152	1358
459	1153	1354
460	1155	1351
461	1157	1347
462	1159	1344
463	1160	1340
464	1163	1338
465	1164	1334
466	1166	1331
467	1168	1328
468	1170	1325
469	1172	1321
470	1173	1318
471	1175	1314
472	1177	1311
473	1179	1308
474	1181	1305
475	1182	1302
476	1184	1298
477	1186	1295
478	1188	1292
479	1190	1289
480	1192	1286
481	1194	1283
482	1196	1280
483	1198	1277
484	1199	1274
485	1201	1270
486	1203	1267
487	1205	1264
488	1206	1261
489	1208	1258
490	1210	1254
491	1212	1251
492	1214	1248
493	1215	1245
494	1217	1242
495	1219	1239
496	1221	1235
497	1222	1232
498	1224	1229
499	1226	1226
500	1228	1223
501	1230	1220
502	1232	1217
503	1234	1214
504	1235	1211
505	1238	1208
506	1239	1205
507	1241	1202
508	1243	1199
509	1245	1196
510	1246	1193
511	1248	1190
512	1250	1187
513	1252	1184
514	1254	1181
515	1255	1178
516	1257	1174
517	1259	1172
518	1261	1169
519	1263	1165
520	1264	1162
521	1266	1159
522	1267	1156
523	1269	1153
524	1271	1150
525	1273	1147
526	1275	1144
527	1277	1141
528	1278	1138
529	1280	1135
530	1282	1132
531	1284	1130
532	1285	1126
533	1287	1123
534	1289	1120
535	1291	1117
536	1292	1114
537	1294	1111
538	1296	1108
539	1297	1105
540	1299	1102
541	1301	1099
542	1303	1096
543	1304	1093
544	1306	1091
545	1308	1088
546	1310	1085
547	1312	1082
548	1314	1079
549	1316	1076
550	1318	1074
551	1319	1071
552	1321	1068
553	1323	1065
554	1325	1062
555	1327	1059
556	1328	1056
557	1330	1053
558	1332	1051
559	1334	1048
560	1335	1045
561	1337	1042
562	1339	1040
563	1341	1037
564	1343	1034
565	1345	1031
566	1347	1028
567	1348	1025
568	1350	1023
569	1352	1020
570	1354	1017
571	1356	1014
572	1358	1012
573	1359	1009
574	1361	1006
575	1363	1003
576	1364	1000
577	1366	997
578	1368	995
579	1370	992
580	1372	989
581	1374	986
582	1375	984
583	1377	981
584	1378	978
585	1380	975
586	1382	972
587	1383	969
588	1385	966
589	1403	975
590	1406	973
591	1409	971
592	1411	968
593	1413	966
594	1415	963
595	1417	961
596	1420	958
597	1422	956
598	1425	954
599	1427	951
600	1429	948
601	1431	946
602	1433	943
603	1435	941
604	1437	938
605	1440	936
606	1442	933
607	1444	931
608	1446	928
609	1448	926
610	1450	923
611	1453	921
612	1455	918
613	1457	916
614	1460	914
615	1462	911
616	1465	909
617	1467	907
618	1470	905
619	1473	902
620	1475	900
621	1477	898
622	1480	895
623	1482	893
624	1485	891
625	1487	888
626	1490	886
627	1493	884
628	1496	882
629	1499	880
630	1502	878
631	1505	876
632	1508	874
633	1510	872
634	1513	869
635	1515	867
636	1519	865
637	1521	863
638	1524	861
639	1526	858
640	1528	856
641	1530	853
642	1532	850
643	1535	848
644	1537	845
645	1539	843
646	1540	840
647	1542	838
648	1544	835
649	1547	833
650	1549	830
651	1551	828
652	1553	825
653	1555	823
654	1557	820
655	1559	817
656	1561	815
657	1563	812
658	1567	811
659	1569	808
660	1571	806
661	1573	803
662	1575	800
663	1577	798
664	1579	795
665	1583	794
666	1586	791
667	1588	789
668	1590	786
669	1592	784
670	1595	782
671	1598	780
672	1601	778
673	1603	775
674	1605	772
675	1607	770
676	1609	767
677	1611	765
678	1613	762
679	1615	760
680	1617	757
681	1619	755
682	1621	752
683	1623	750
684	1625	747
685	1627	745
686	1629	742
687	1633	740
688	1635	738
689	1637	735
690	1639	733
691	1641	730
692	1643	728
693	1645	725
694	1647	723
695	1649	720
696	1651	718
697	1654	715
698	1656	713
699	1658	710
700	1659	707
701	1661	705
702	1664	703
703	1666	700
704	1668	698
705	1670	695
706	1672	693
707	1674	690
708	1676	687
709	1680	686
710	1682	683
711	1684	681
712	1686	678
713	1688	676
714	1690	673
715	1691	671
716	1693	668
717	1695	665
718	1697	663
719	1699	661
720	1701	658
721	1703	656
722	1705	653
723	1707	650
724	1709	648
725	1711	645
726	1713	643
727	1715	640
728	1717	638
729	1719	635
730	1720	633
731	1722	630
732	1724	628
733	1726	625
734	1728	623
735	1730	620
736	1732	618
737	1734	615
738	1736	613
739	1737	610
740	1739	608
741	1741	605
742	1744	603
743	1746	600
744	1749	598
745	1751	596
746	1753	593
747	1755	591
748	1757	588
