iter	Logloss
0	0.6822597948
1	0.6700292742
2	0.6611080404
3	0.650662175
4	0.6416842171
5	0.6324944512
6	0.6255156792
7	0.6178243385
8	0.6095807314
9	0.6008335273
10	0.5923433971
11	0.5841399507
12	0.5776593302
13	0.5701365736
14	0.5645681908
15	0.5581234199
16	0.551174031
17	0.546545454
18	0.5409552891
19	0.5341580344
20	0.5276152442
21	0.5216713475
22	0.5160734682
23	0.5121896225
24	0.5064626957
25	0.5004617346
26	0.4947986792
27	0.4893254228
28	0.4839677702
29	0.4793951799
30	0.4745849721
31	0.4704635656
32	0.4658817292
33	0.4612407863
34	0.4570469431
35	0.4527097012
36	0.4505009196
37	0.4468909097
38	0.4434482928
39	0.4401205139
40	0.4365577268
41	0.4336791181
42	0.4318515511
43	0.4284456347
44	0.4247215525
45	0.421427411
46	0.4183375899
47	0.4154616756
48	0.4139652074
49	0.4116400279
50	0.4088286373
51	0.4062974923
52	0.4034417718
53	0.4017389128
54	0.399589805
55	0.3981312286
56	0.3957273443
57	0.3936059746
58	0.3923560296
59	0.3900973591
60	0.388750671
61	0.3865265172
62	0.3849150976
63	0.3831547203
64	0.3810796943
65	0.3789832264
66	0.3776324543
67	0.3759676573
68	0.3741444864
69	0.3724961677
70	0.3707517583
71	0.3692109319
72	0.3680286872
73	0.3662875395
74	0.3648698045
75	0.3632986023
76	0.362126029
77	0.36066317
78	0.3592393087
79	0.3578115052
80	0.3562315675
81	0.3545898855
82	0.3531203614
83	0.3517807072
84	0.3504773564
85	0.3492599427
86	0.3479421273
87	0.3470643211
88	0.3462818115
89	0.3453091625
90	0.3440517583
91	0.3428900194
92	0.3421509888
93	0.3411937121
94	0.3402549274
95	0.3391105461
96	0.3382641367
97	0.3370581813
98	0.3362617459
99	0.3352194396
100	0.334107703
101	0.3333399984
102	0.3324558675
103	0.3314884938
104	0.3308966908
105	0.3304464712
106	0.3300115105
107	0.329324893
108	0.3282480701
109	0.3274959079
110	0.3267201768
111	0.3259532947
112	0.3250881947
113	0.3246236523
114	0.3240028916
115	0.3232379948
116	0.3222907866
117	0.3212666888
118	0.3209545075
119	0.3203023783
120	0.3195506699
121	0.319093218
122	0.3186388292
123	0.3181371608
124	0.3174642139
125	0.3169158332
126	0.3162519054
127	0.3156983344
128	0.3149193133
129	0.3142271085
130	0.3136271088
131	0.3131787895
132	0.3129159582
133	0.3121860886
134	0.3114658337
135	0.3111258008
136	0.310661939
137	0.3102335583
138	0.3097607058
139	0.3090645303
140	0.3085666057
141	0.3078771237
142	0.3073454766
143	0.3066289655
144	0.3059832462
145	0.3052882336
146	0.3046576596
147	0.304067615
148	0.3037003828
149	0.3030303855
150	0.3026227091
151	0.3021832104
152	0.301689058
153	0.3012097673
154	0.3007875978
155	0.3004975956
156	0.3002686853
157	0.2997271682
158	0.2993361686
159	0.2989117586
160	0.2984614255
161	0.2981024751
162	0.2974043427
163	0.2971327758
164	0.2968436528
165	0.2964731874
166	0.2961197109
167	0.2957838188
168	0.2954256058
169	0.2951031574
170	0.294859357
171	0.294172229
172	0.2937917234
173	0.293359996
174	0.2927181622
175	0.2917522067
176	0.291284743
177	0.2910248896
178	0.290514741
179	0.2901410707
180	0.2897376769
181	0.2893919716
182	0.2891864033
183	0.2890341557
184	0.2886644844
185	0.2880948605
186	0.2876846314
187	0.287351689
188	0.2871050241
189	0.2868251188
190	0.2865089384
191	0.2862830344
192	0.2860298462
193	0.2858233987
194	0.2855889861
195	0.2851876344
196	0.2846130755
197	0.2842015418
198	0.2835123434
199	0.2832009278
200	0.2830575292
201	0.2829334167
202	0.2824998173
203	0.2822895977
204	0.2816367311
205	0.2812216521
206	0.2809827867
207	0.2805049709
208	0.2802621064
209	0.2797833546
210	0.2793001783
211	0.2787743454
212	0.2786819418
213	0.2785356502
214	0.2783003585
215	0.2781737785
216	0.2778147714
217	0.2774880403
218	0.2773494632
219	0.2772363836
220	0.2771099171
221	0.2766741906
222	0.2764214278
223	0.276120733
224	0.2757309814
225	0.2755864483
226	0.2753552974
227	0.2752083251
228	0.2749433666
229	0.2746622985
230	0.2742549056
231	0.2737283353
232	0.2733248565
233	0.2728410279
234	0.2724453486
235	0.2718906147
236	0.27150109
237	0.271245179
